2017-01-09 15:17:46,134 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:17:46,135 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQs/src/main/resources
2017-01-09 15:17:46,137 [Worker-208] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:17:46,137 [Worker-208] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQs/src/test/resources
2017-01-09 15:21:57,334 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:21:57,336 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQs/src/main/resources
2017-01-09 15:21:57,338 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:21:57,339 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQs/src/test/resources
2017-01-09 15:27:27,857 [Worker-123] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: CodeQs:CodeQs:0.0.1-SNAPSHOT @ /Users/christopher/SD/CodeQs/CodeQs/pom.xml.
2017-01-09 15:27:29,063 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:27:29,065 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQs/src/main/resources
2017-01-09 15:27:29,067 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:27:29,068 [Worker-123] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQs/src/test/resources
2017-01-09 15:27:29,069 [Worker-123] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of CodeQs
2017-01-09 15:27:29,070 [Worker-123] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for CodeQs
2017-01-09 15:27:29,077 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2017-01-09 15:27:29,083 [Worker-123] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:27:36,491 [Worker-217] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:27:36,491 [Worker-217] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQs/src/main/resources
2017-01-09 15:27:36,493 [Worker-217] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:27:36,493 [Worker-217] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQs/src/test/resources
2017-01-09 15:29:12,809 [Worker-219] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CodeQJPA:CodeQJPA:0.0.1-SNAPSHOT @ /Users/christopher/SD/CodeQs/CodeQJPA/pom.xml.
2017-01-09 15:29:13,422 [Worker-219] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CodeQJPA/src
2017-01-09 15:29:13,423 [Worker-219] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /CodeQJPA/src overlaps with sources folder /CodeQJPA/src
2017-01-09 15:29:13,431 [Worker-219] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /CodeQJPA/src/test/java because it overlaps with /CodeQJPA/src
2017-01-09 15:29:13,560 [Worker-219] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-01-09 15:29:13,607 [Worker-219] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: CodeQJPA:CodeQJPA:0.0.1-SNAPSHOT @ /Users/christopher/SD/CodeQs/CodeQJPA/pom.xml.
2017-01-09 15:29:13,712 [Worker-219] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CodeQJPA/src
2017-01-09 15:29:13,713 [Worker-219] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /CodeQJPA/src overlaps with sources folder /CodeQJPA/src
2017-01-09 15:29:13,720 [Worker-219] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /CodeQJPA/src/test/java because it overlaps with /CodeQJPA/src
2017-01-09 15:29:13,861 [Worker-219] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-01-09 15:29:13,890 [Worker-213] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:29:13,904 [Worker-213] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-01-09 15:29:13,917 [Worker-213] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-09 15:29:13,917 [Worker-213] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/christopher/SD/CodeQs/CodeQJPA/src/test/resources
